longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-117.42,34.13,4.0,11587.0,1796.0,5804.0,1705.0,4.8283,141900.0,0,1,0,0,0
-118.92,34.4,23.0,1290.0,283.0,1060.0,279.0,3.3152,198000.0,1,0,0,0,0
-117.99,33.81,46.0,38.0,8.0,66.0,14.0,4.1667,162500.0,1,0,0,0,0
-122.13,37.75,30.0,414.0,54.0,137.0,50.0,4.975,311100.0,0,0,0,1,0
-118.29,33.79,10.0,3708.0,1016.0,2855.0,948.0,2.0,165400.0,1,0,0,0,0
-123.73,39.17,20.0,4620.0,1042.0,1745.0,794.0,2.375,158800.0,0,0,0,0,1
-122.12,37.67,33.0,3429.0,681.0,1798.0,694.0,3.9395,184700.0,0,0,0,1,0
-118.36,34.1,52.0,1295.0,281.0,578.0,273.0,2.976,405100.0,1,0,0,0,0
-118.3,34.09,25.0,2345.0,852.0,2860.0,862.0,1.4497,205600.0,1,0,0,0,0
-116.47,33.84,3.0,9169.0,1512.0,3838.0,1270.0,4.3111,142500.0,0,1,0,0,0
-117.09,32.63,27.0,2920.0,770.0,1935.0,746.0,2.4148,67500.0,0,0,0,0,1
-122.74,38.46,9.0,2268.0,594.0,1311.0,585.0,2.6607,91500.0,1,0,0,0,0
-118.37,33.95,35.0,924.0,349.0,1376.0,358.0,2.2297,262500.0,1,0,0,0,0
-124.14,41.95,21.0,2696.0,578.0,1208.0,494.0,2.275,122400.0,0,0,0,0,1
-117.1,32.9,16.0,2994.0,445.0,1047.0,437.0,5.149,184300.0,1,0,0,0,0
-120.35,37.31,17.0,605.0,159.0,416.0,83.0,2.0,87500.0,0,1,0,0,0
-121.82,37.37,40.0,802.0,149.0,445.0,143.0,4.0446,196300.0,1,0,0,0,0
-117.4,33.95,43.0,633.0,166.0,292.0,135.0,1.1601,121400.0,0,1,0,0,0
-121.96,39.3,39.0,701.0,130.0,271.0,89.0,2.1845,112500.0,0,1,0,0,0
